Country,Year,Total Exported Value(Crops),Predicted Scaled Value,Mean Error
"China, Hong Kong SAR",2020,0.31453660605146255,-0.32635325,0.640889857985514
"China, Hong Kong SAR",2021,0.39931225675652576,0.043774545,0.35553771156380726
"China, Taiwan Province of",2019,-0.1554126726525193,0.05534914,0.21076181401184851
"China, Taiwan Province of",2020,-0.16876572803291565,-0.24196856,0.07320282920566315
"China, Taiwan Province of",2021,-0.13063935211592997,-0.14018583,0.009546480861364948
"China, mainland",2019,5.065761803354563,0.119650245,4.946111558641733
"China, mainland",2020,4.836202209187813,-0.40355945,5.239761655522652
"China, mainland",2021,5.042384532351073,-0.14249614,5.184880671162184
Colombia,2019,0.04400802594609127,0.0854949,0.04148687231354847
Colombia,2020,0.08114331913879477,-0.24061897,0.321762293109208
Colombia,2021,0.13044180468227012,-0.11294382,0.24338562533761604
Comoros,2019,-0.38984230904087075,0.19255175,0.5823940560053253
Comoros,2020,-0.3898505670373101,-0.2002856,0.18956496840163656
Comoros,2021,-0.38984873686825655,-0.06765245,0.3221962878564539
Congo,2019,-0.38896711193687805,0.11673226,0.5056993740118254
Congo,2020,-0.3888670872115724,-0.22072645,0.16814064189430405
Congo,2021,-0.38886179853613945,-0.07437253,0.31448926855261894
Cook Islands,2019,-0.38968416875114525,0.02596689,0.41565105890741433
Cook Islands,2020,-0.38983351738766064,-0.25817248,0.13166103513553967
Cook Islands,2021,-0.38982668247594326,-0.20367835,0.18614832785500973
Costa Rica,2019,0.13252511177239412,0.031121515,0.10140359703478807
Costa Rica,2020,0.1485392004581859,-0.17305319,0.32159239057029987
Costa Rica,2021,0.21073205141454893,-0.24436195,0.45509400336176115
Croatia,2019,-0.2330741175800039,-0.07248242,0.1605916955857946
Croatia,2020,-0.20237315999116437,-0.29899305,0.09661989106092914
Croatia,2021,-0.15958349964246696,0.02985476,0.18943825921640342
Cyprus,2019,-0.36718844399886874,0.20288368,0.5700721196933344
Cyprus,2020,-0.3707661850370029,-0.20009413,0.17067205142150915
Cyprus,2021,-0.3685964563379117,-0.1394576,0.22913885800932132
Czechia,2019,0.18182766302786954,0.08760238,0.09422528609000333
Czechia,2020,0.2553680752471674,-0.21918616,0.47455423223531135
Czechia,2021,0.3002305234900274,-0.16620786,0.4664383883705892
Côte d'Ivoire,2019,-0.14917378028874237,0.070629,0.2198027809524997
Côte d'Ivoire,2020,-0.12411921579222633,-0.27197796,0.14785874527115866
Côte d'Ivoire,2021,-0.06055204984310265,-0.12237944,0.06182738724586372
Democratic People's Republic of Korea,2019,-0.3796456453111055,0.06538379,0.44502943723462846
Democratic People's Republic of Korea,2020,-0.38202798320974213,-0.20401612,0.17801186396802765
Democratic People's Republic of Korea,2021,-0.3817266364676796,-0.2174975,0.1642291386706673
Democratic Republic of the Congo,2019,-0.38864466693754984,0.09550632,0.4841509848510821
Democratic Republic of the Congo,2020,-0.38860725622957115,-0.23679294,0.15181431930845146
Democratic Republic of the Congo,2021,-0.3891406872224339,-0.15026368,0.23887700521464428
Denmark,2019,0.17398669540872538,0.08082513,0.0931615677474972
Denmark,2020,0.20602133652690047,-0.22547764,0.4314989723873436
Denmark,2021,0.25530442641462797,-0.16669016,0.4219945822783899
Djibouti,2019,-0.3653934826087742,0.1261586,0.49155207769391823
Djibouti,2020,-0.35675740916220566,-0.27723867,0.07951874215094468
Djibouti,2021,-0.32350026471903487,-0.27474356,0.04875670774271651
Dominica,2019,-0.3890353601381883,0.051763516,0.44079887605763524
Dominica,2020,-0.38919845385742674,-0.31052375,0.07867470545959959
Dominica,2021,-0.3891565207504038,-0.07686688,0.31228964069116155
Dominican Republic,2019,-0.09311643253858132,-0.038964003,0.05415242921407265
Dominican Republic,2020,-0.09624862148630926,-0.28071123,0.184462612129566
Dominican Republic,2021,-0.022007083475701104,-0.16760111,0.1455940250753243
Ecuador,2019,0.3384113170036818,0.16847748,0.16993384136052386
Ecuador,2020,0.41058939414054657,-0.28372034,0.694309738445585
Ecuador,2021,0.3999836021054158,-0.190692,0.590675594745911
Egypt,2019,0.2930658324135873,0.018710729,0.2743551036788556
Egypt,2020,0.26822860818914174,-0.21612501,0.48435361963323353
Egypt,2021,0.39101408725125286,-0.1667527,0.5577667832885453
El Salvador,2019,-0.2884223090307183,0.011581086,0.30000339465302894
El Salvador,2020,-0.28869611429418385,-0.33045697,0.041760857828008535
El Salvador,2021,-0.27654246276862715,-0.13824226,0.13830020314700697
Equatorial Guinea,2019,-0.38981565014847147,0.052723914,0.4425395645333134
Equatorial Guinea,2020,-0.3898159015829116,-0.36474824,0.02506766206569966
Equatorial Guinea,2021,-0.38977205107447843,-0.17079878,0.21897327254054288
Eritrea,2019,-0.3898161889365574,0.021428082,0.41124427107485734
Eritrea,2020,-0.3898332881889194,-0.21923158,0.1706017124614566
Eritrea,2021,-0.3898412006768085,-0.22775847,0.16208273347939028
Estonia,2019,-0.3058947482567149,0.076865815,0.3827605628829318
Estonia,2020,-0.2970713493105525,-0.19782153,0.09924982159105483
Estonia,2021,-0.30031441400459086,-0.28884122,0.011473196248319495
Eswatini,2019,-0.29957171942963007,-0.006677367,0.2928943526364744
Eswatini,2020,-0.3057787206700409,-0.37291676,0.0671380373904144
Eswatini,2021,-0.2951113614058641,-0.11533748,0.17977387782098325
Ethiopia,2019,-0.2901466737876237,-0.019402497,0.27074417727091915
Ethiopia,2020,-0.28881481700646494,-0.23401304,0.054801781113024695
Ethiopia,2021,-0.2718173562525527,-0.1765382,0.09527915706622764
Fiji,2019,-0.3662036146372589,0.041265786,0.40746940033138124
Fiji,2020,-0.36594809738082107,-0.31364834,0.05229975429457839
Fiji,2021,-0.365829911220927,-0.09630661,0.26952330409373737
Finland,2019,-0.3174547391231665,-0.03784044,0.27961429825383516
Finland,2020,-0.30945421839220516,-0.32914,0.019685789103674967
Finland,2021,-0.31176288771034416,-0.17761827,0.13414462255836662
France,2019,3.3317739115188907,0.18131506,3.150458847088654
France,2020,3.4395596825004993,-0.19164567,3.631205349457401
France,2021,3.8957765990116595,-0.24131629,4.1370928877213
French Polynesia,2019,-0.38797669628355935,0.22202808,0.6100047729322715
French Polynesia,2020,-0.3882061618532186,-0.21525793,0.1729482340778356
French Polynesia,2021,-0.38792229921215093,-0.20299488,0.1849274161516956
Gabon,2019,-0.38656986585742853,0.06142977,0.447999634658164
Gabon,2020,-0.3835348280985484,-0.24415812,0.1393767091353068
Gabon,2021,-0.3771071084702908,-0.14988784,0.2272192635501324
Gambia,2019,-0.38912254460266743,0.047410585,0.4365331295888773
Gambia,2020,-0.3893464905877141,-0.30445296,0.08489353486490525
Gambia,2021,-0.38846716790637853,-0.1692878,0.21917936711749914
